Langue;Sexe;Date de naissance;Code postal;Ville;Pays
fr;M;15/07/2014;1180;Uccle;Belgium
fr;M;15/07/2014;1180;Uccle;Belgium
fr;F;11/03/2019;1500;Halle;Belgium
fr;F;09/04/2016;1500;Halle;Belgium
fr;M;28/12/2012;1190;Forest;Belgium
fr;M;10/06/2010;1190;Forest;Belgium
fr;M;23/10/2008;1190;Forest;Belgium
fr;M;02/12/1978;1190;Forest;Belgium
fr;M;21/10/2006;1000;Bruxelles;Belgium
fr;F;04/07/1991;6001;Marcinelle;Belgium
fr;M;02/11/2009;1070;Anderlecht;Belgium
fr;M;06/06/2008;1070;Anderlecht;Belgium
fr;M;23/08/1977;1070;Anderlecht;Belgium
fr;F;29/05/1998;1180;Uccle;Belgium
fr;M;30/07/2021;1420;Braine l'Alleud;Belgium
fr;M;27/03/2013;1180;Bruxelles;Belgium
fr;M;15/05/2020;1180;Uccle;Belgium
fr;M;08/09/1981;1180;UCCLE;Belgium
fr;F;01/01/2013;1190;Forest;Belgium
fr;F;30/08/1980;1652;alsemberg;Belgium
fr;F;10/07/1985;1640;Rhode-Saint-Genèse;Belgium
fr;F;15/03/2011;1701;itterbeek;Belgium
fr;M;31/05/2012;1701;itterbeek;Belgium
fr;M;04/03/2012;1400;Waterloo;Belgium
fr;M;12/10/1982;3150;Wespelaar;Belgium
fr;M;16/02/2015;1410;Waterloo;Belgium
fr;M;09/09/2007;1060;bruxelles;Belgium
fr;F;21/08/2019;1630;Linkebeek;Belgium
fr;M;17/11/2016;1630;Linkebeek;Belgium
fr;F;31/05/2010;1070;Anderlecht;Belgium
fr;F;10/08/2013;1650;Beersel;Belgium
fr;F;14/01/1986;1082;Bruxelles;Belgium
fr;M;13/05/1987;6210;Les bons villers;Belgium
fr;M;22/06/2015;1650;Beersel;Belgium
fr;F;30/09/2020;1650;Beersel;Belgium
fr;M;04/05/2018;1190;Forest;Belgium
fr;M;30/10/1972;1640;Sint-Genesius-Rode;Belgium
